sale_dollars
7.4
7.4
7.4
8.45
990
162
161.04
486
1440.48
1259.76
188.4
188.4
188.4
243.12
243.12
206.64
188.4
243.12
243.12
188.4
206.64
188.4
188.4
188.4
206.64
243.12
561.36
597.36
629.76
629.76
629.76
629.76
629.76
629.76
661.8
611.52
561.36
561.36
597.36
597.36
629.76
561.36
561.36
597.36
629.76
597.36
561.36
561.36
561.36
561.36
629.76
629.76
561.36
612
597.36
561.36
561.36
597.36
597.36
561.36
561.36
629.76
597.36
597.36
561.36
561.36
561.36
561.36
561.36
900
252
252
252
252
252
252
306
234.24
221.28
221.28
221.28
221.28
221.28
221.28
221.28
234.24
221.28
221.28
221.28
221.28
221.28
221.28
221.28
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
198
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
198
188.4
188.4
188.4
188.4
188.4
188.4
188.4
188.4
198
188.4
147.84
147.84
156.24
188.4
234
234
486
471.6
342
250.56
593.76
593.76
593.76
593.76
593.76
611.76
665.76
504
540
360
424.8
468
882
935.76
756
756
810
594
594
672.24
672.24
540
630.72
540
540
576
576
540
539.04
288
306
288
582.24
810
426.24
450
426.24
450
542.64
403.2
396
378
396
378
378
378
378
396
396
378
378
378
378
378
378
396
198
393.12
432
393.12
414
414
252
192
192
147.6
410.4
504
809.76
809.76
715.32
715.32
150.72
144
126
126
126
126
150.72
150.72
150.72
150.72
150.72
150.72
150.72
150.72
126
126
126
126
126
1092
612
396
540
576
572.88
572.88
560.64
560.64
560.64
560.64
572.88
560.64
572.88
572.88
560.64
708.24
594
594
690.24
415.44
415.44
415.44
651.36
819.12
900
378
378
378
396
377.76
396
495.12
327.36
327.36
327.36
327.36
327.36
291.6
378
252
378
378
413.76
396
378
585.18
486
486
143.52
324
244.32
244.32
233.76
359.76
297.12
359.76
413.76
359.76
413.76
359.76
413.76
359.76
359.76
413.76
359.76
450
450
179.76
179.76
450
513
607.5
614.34
513
614.34
614.34
614.34
614.34
607.5
665.76
540
665.76
665.76
665.76
408
408
408
408
450
252
267.12
359.76
288
315.12
359.76
358.56
123.36
123.36
123.36
123.36
