suhu_min,suhu_max,suhu_rata,kelembaban_rata,curah_hujan_rata,durasi_cerah,kecepatan_angin_max,arah_angin_max,kecepatan_angin_rata,nama_daerah,banjir
0.6349206349206344,0.5555555555555562,0.5357142857142865,0.48571428571428577,0.0,0.6944444444444444,0.33333333333333326,0.9722222222222222,0.16666666666666666,0.0,
0.3174603174603172,0.4285714285714297,0.4107142857142856,0.6285714285714286,0.9886363636363635,0.5092592592592592,0.0,0.05555555555555556,0.16666666666666666,0.0,1.0
0.6349206349206344,0.12698412698412742,0.3035714285714288,0.6000000000000001,0.17045454545454544,0.5,0.33333333333333326,0.75,0.16666666666666666,3.0,
0.5396825396825395,0.7619047619047619,0.5892857142857144,0.5142857142857142,0.21590909090909088,0.3981481481481481,0.33333333333333326,0.5833333333333334,0.3333333333333333,1.0,0.0
0.47619047619047583,0.904761904761906,0.7321428571428577,0.3142857142857143,0.056818181818181816,0.6944444444444444,0.6666666666666665,0.11111111111111112,1.0,1.0,0.0
0.6349206349206344,0.7460317460317469,0.7678571428571432,0.37142857142857144,0.022727272727272728,0.18518518518518517,0.6666666666666665,0.5,0.3333333333333333,0.0,0.0
0.6984126984126977,0.6190476190476195,0.6785714285714288,0.5428571428571427,0.1590909090909091,0.1388888888888889,0.6666666666666665,0.5277777777777778,0.3333333333333333,0.0,
0.1587301587301586,0.5555555555555562,0.5,0.5428571428571427,0.1590909090909091,0.5,0.0,0.5,0.16666666666666666,1.0,0.0
0.6349206349206344,0.6507936507936511,0.6071428571428577,0.5714285714285716,0.0,0.5648148148148148,0.33333333333333326,0.888888888888889,0.16666666666666666,0.0,0.0
0.6349206349206344,0.7142857142857144,0.6785714285714288,0.5428571428571427,0.5,0.6018518518518519,0.0,0.25,0.16666666666666666,0.0,
0.47619047619047583,0.4761904761904763,0.44642857142857206,0.5142857142857142,0.1590909090909091,0.25925925925925924,0.0,0.1388888888888889,0.3333333333333333,1.0,0.0
0.47619047619047583,0.6666666666666679,0.5357142857142865,0.3999999999999999,0.1590909090909091,0.5,0.33333333333333326,0.1388888888888889,0.3333333333333333,1.0,
0.47619047619047583,0.46031746031746046,0.5714285714285721,0.3142857142857143,0.056818181818181816,0.7037037037037036,0.6666666666666665,0.3611111111111111,0.5,3.0,
0.8888888888888893,0.8730158730158735,0.8571428571428568,0.3999999999999999,0.1590909090909091,0.6018518518518519,0.33333333333333326,0.75,0.16666666666666666,0.0,0.0
